ord,name,pty,list,90-94,94-98,98-02,02-06,06-10,10-14,14-18,district,per,web,coment
1,"Allamand Zavala, Andrés",rn,right,0,d,0,0,s,s,s,,"              S: 2014-2022, S: 2006-2011, D: 1994-1998",/appsenado/index.php?mo=senadores&ac=fichasenador&id=905,Sale 14ene11
2,"Allende Bussi, Isabel",ps,con,0,d,d,d,d,s,s,,"              S: 2010-2018, D: 2006-2010, D: 2002-2006, D: 1998-2002, D: 1994-1998",/appsenado/index.php?mo=senadores&ac=fichasenador&id=985,
3,"Araya Guerrero, Pedro",dc,con,0,0,0,d,d,d,s,,"              S: 2014-2022, D: 2010-2014, D: 2006-2010, D: 2002-2006",/appsenado/index.php?mo=senadores&ac=fichasenador&id=1110,
4,"Bianchi Chelech, Carlos",ind,con,0,0,0,0,s,s,s,,"              S: 2014-2022, S: 2006-2014",/appsenado/index.php?mo=senadores&ac=fichasenador&id=907,
5,"Chahuán Chahuán, Francisco",rn,right,0,0,0,0,d,s,s,,"              S: 2010-2018, D: 2006-2010",/appsenado/index.php?mo=senadores&ac=fichasenador&id=986,
6,"Coloma Correa, Juan Antonio",udi,right,d,d,d,s,s,s,s,,"              S: 2010-2018, S: 2002-2010, D: 1998-2002, D: 1994-1998, D: 1990-1994",/appsenado/index.php?mo=senadores&ac=fichasenador&id=687,
7,"De Urresti Longton, Alfonso",ps,con,0,0,0,0,d,d,s,,"              S: 2014-2022, D: 2010-2014, D: 2006-2010",/appsenado/index.php?mo=senadores&ac=fichasenador&id=1115,
8,"Espina Otero, Alberto",rn,right,d,d,d,s,s,s,s,,"              S: 2010-2018, S: 2002-2010, D: 1998-2002, D: 1994-1998, D: 1990-1994",/appsenado/index.php?mo=senadores&ac=fichasenador&id=688,
9,"García Huidobro Sanfuentes, Alejandro",udi,right,0,d,d,d,d,s,s,,"              S: 2014-2022, S: 2011-2014, D: 2010-2011, D: 2006-2010, D: 2002-2006, D: 1998-2002, D: 1994-1998",/appsenado/index.php?mo=senadores&ac=fichasenador&id=1066,Sale dip y entra sen jul11
10,"García Ruminot, José",rn,right,d,d,d,s,s,s,s,,"              S: 2010-2018, S: 2002-2010, D: 1998-2002, D: 1994-1998, D: 1990-1994",/appsenado/index.php?mo=senadores&ac=fichasenador&id=690,
